a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240116.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
aha 0.5.1-2
aic94xx-firmware 30-10
alsa-card-profiles 1:1.0.5-1
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
an-anime-game-launcher-bin 3.9.5-2
an-anime-game-launcher-bin-debug 3.9.5-2
android-studio 2023.2.1.25-1
android-tools 34.0.5-1
android-udev 20231124-1
anydesk-bin 6.3.2-1
aom 3.8.2-1
appstream 1.0.2-1
appstream-qt 1.0.2-1
archlinux-appstream-data 20240415-1
archlinux-keyring 20240313-1
argon2 20190702-5
aribb24 1.0.3-3
arj 3.10.22-13
ark 24.02.2-1
armcord 3.2.6-3
asio 1.28.0-1
ast-firmware 501-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.1.0-1
attr 2.5.2-1
audit 4.0.1-2
augeas 1.14.1-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
axel 2.17.14-1
baloo 6.1.0-1
baloo-widgets 24.02.2-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bc 1.07.1-4
bcg729 1.1.1-1
binutils 2.42-3
bison 3.8.2-6
blas 3.12.0-3
bluedevil 1:6.0.4-1
bluez 5.75-1
bluez-libs 5.75-1
bluez-qt 6.1.0-1
bolt 0.9.7-1
boost 1.83.0-5
boost-libs 1.83.0-5
botan2 2.19.3-1
breeze 6.0.4-1
breeze-gtk 6.0.4.1-1
breeze-icons 6.1.0-1
bridge-utils 1.7.1-2
brltty 6.6-6
brotli 1.1.0-1
btop 1.3.2-1
btrfs-progs 6.8-2
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.28.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
caprine 2.60.1-1
capstone 5.0.1-2
cblas 3.12.0-3
ccache 4.9.1-1
cdparanoia 10.2-9
cfitsio 1:4.4.0-1
chromaprint 1.5.1-7
chrpath 0.17-1
cifs-utils 7.0-3
cjson 1.7.17-1
clang 17.0.6-1
clazy 1.11-5
clinfo 3.0.23.01.25-1
cmake 3.29.2-1
cmocka 1.1.7-1
colord 1.4.7-2
compiler-rt 17.0.6-1
confuse 3.3-4
convertlit 1.8-11
coreutils 9.5-1
cowsay 3.04-5
cpio 2.15-1
cpp-httplib 0.15.3-1
cppdap 1.58.0-1
cpupower 6.7-2
cryptsetup 2.7.2-1
ctags 1:6.1.0-2
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.7.1-5
cython 3.0.10-1
dav1d 1.4.1-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debootstrap 1.0.134-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dhcpcd 10.0.6-1
diffutils 3.10-1
discord 0.0.51-1
discord-screenaudio 1.10.1-1
discord-screenaudio-debug 1.10.1-1
discount 3.0.0.d-1
discover 6.0.4-1
dkms 3.0.12-1
dmidecode 3.5-1
dnsmasq 2.90-1
dolphin 24.02.2-2
dosbox 0.74.3-2
dosfstools 4.2-3
dotnet-host 8.0.4.sdk104-1
dotnet-runtime 8.0.4.sdk104-1
dotnet-runtime-6.0 6.0.29.sdk129-1
dotnet-sdk 8.0.4.sdk104-1
dotnet-targeting-pack 8.0.4.sdk104-1
double-conversion 3.3.0-1
dpp 10.0.29-1
dpp-debug 10.0.29-1
drkonqi 6.0.4-1
dtc 1.7.0-4
duktape 2.7.0-6
dvisvgm 3.3-1
e2fsprogs 1.47.0-2
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.7-1
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
electron27 27.3.11-2
electron28 28.3.1-2
enca 1.19-5
enchant 2.6.5-1
exfatprogs 1.2.2-1
exiv2 0.28.2-3
expat 2.6.2-1
extra-cmake-modules 6.1.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.34-1
ffcall 2.4-2
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-6
file 5.45-1
filesystem 2024.04.07-1
findutils 4.9.0-3
firefox 125.0.2-1
flac 1.4.3-1
flashrom 1.3.0-3
flex 2.6.4-5
fluidsynth 2.3.5-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration 6.1.0-1
freeglut 3.4.0-1
freerdp 2:3.5.0-1
freerdp2 2.11.5-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fwupd 1.9.17-2
fwupd-efi 1.6-1
gamemode 1.8.1-2
gamescope 3.14.3-1
gawk 5.3.0-1
gay 1.3.4-1
gc 8.2.6-1
gcab 1.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcc12 12.3.0-6
gcc12-libs 12.3.0-6
gcr 3.41.2-1
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.11-2
geekbench 6.2.2-1
gendesk 1.0.9-3
